iter	RMSE
0	4026388.943
1	3891713.606
2	3773374.225
3	3660665.961
4	3566192.869
5	3479720.708
6	3407469.73
7	3337829.024
8	3279866.401
9	3228348.649
10	3181565.657
11	3138347.708
12	3099600.046
13	3066011.1
14	3038112.85
15	3013753.07
16	2991334.23
17	2970642.936
18	2952901.151
19	2935578.42
20	2922367.177
21	2908698.266
22	2897101.396
23	2885972.874
24	2875757.341
25	2866251.618
26	2859171.6
27	2851308.441
28	2844708.572
29	2838158.244
30	2831890.199
31	2824424.898
32	2818316.211
33	2813138.976
34	2807983.266
35	2803875.541
36	2799452.782
37	2796201.495
38	2792640.163
39	2788242.061
40	2783821.21
41	2780593.98
42	2775106.101
43	2772607.764
44	2769100.702
45	2766270.67
46	2764393.035
47	2761675.747
48	2758565.991
49	2755848.738
50	2753574.527
51	2751518.573
52	2749765.065
53	2744516.627
54	2743254.366
55	2741635.471
56	2738528.089
57	2736956.069
58	2734390.079
59	2732557.519
60	2731176.727
61	2728344.291
62	2726839.058
63	2724766.265
64	2720737.404
65	2717149.177
66	2714863.664
67	2713623.519
68	2712276.735
69	2710860.26
70	2708878.256
71	2707272.658
72	2706243.333
73	2704036.237
74	2702638.241
75	2701253.895
76	2700645.308
77	2699968.877
78	2698852.466
79	2697559.974
80	2695200.018
81	2694184.489
82	2692533.459
83	2691297.809
84	2690446.251
85	2687940.313
86	2686994.526
87	2686214.793
88	2684676.37
89	2683369.568
90	2682201.045
91	2680420.761
92	2680036.999
93	2678692.307
94	2676356.111
95	2675556.426
96	2674098.892
97	2673480.783
98	2672601.951
99	2670759.003
100	2669282.578
101	2668566.488
102	2667527.28
103	2665836.698
104	2664885.22
105	2663870.519
106	2663020.501
107	2662295.586
108	2661624.971
109	2660635.477
110	2658910.729
111	2655963.376
112	2654105.414
113	2653600.92
114	2652925.93
115	2651435.453
116	2650527.315
117	2648602.603
118	2648090.348
119	2646376.211
120	2645906.941
121	2643219.903
122	2642153.293
123	2640049.918
124	2639481.977
125	2637641.689
126	2636162.399
127	2635018.435
128	2634062.858
129	2631959.401
130	2631264.575
131	2630626.891
