iter	Passed	Remaining
0	4	4465
1	7	3924
2	11	3675
3	14	3533
4	17	3449
5	20	3374
6	23	3329
7	26	3290
8	29	3265
9	32	3256
10	35	3226
11	39	3217
12	42	3210
13	45	3205
14	48	3180
15	51	3165
16	54	3159
17	57	3147
18	60	3135
19	63	3134
20	66	3118
21	70	3112
22	73	3103
23	76	3096
24	79	3097
25	82	3085
26	85	3069
27	88	3071
28	91	3065
29	94	3065
30	97	3062
31	101	3061
32	104	3059
33	107	3057
34	110	3054
35	114	3053
36	117	3046
37	120	3042
38	123	3038
39	126	3029
40	129	3022
41	132	3022
42	135	3015
43	138	3008
44	141	3004
45	144	3006
46	148	3003
47	151	3000
48	154	2994
49	157	2985
50	160	2980
51	163	2975
52	166	2967
53	168	2959
54	171	2952
55	174	2946
56	177	2938
57	180	2933
58	183	2931
59	187	2930
60	190	2926
61	193	2922
62	196	2915
63	198	2909
64	201	2904
65	205	2901
66	208	2905
67	211	2905
68	215	2901
69	218	2898
70	221	2893
71	223	2886
72	227	2883
73	229	2877
74	232	2872
75	235	2867
76	238	2860
77	241	2855
78	244	2850
79	247	2846
80	250	2840
81	253	2835
82	256	2831
83	259	2824
84	262	2820
85	264	2815
86	268	2813
87	271	2810
88	274	2805
89	276	2798
90	279	2795
91	282	2791
92	285	2788
93	289	2786
94	292	2785
95	295	2785
96	299	2784
97	302	2782
98	305	2779
99	308	2777
100	311	2776
101	315	2774
102	318	2774
103	322	2777
104	325	2777
105	328	2774
106	332	2771
107	335	2768
108	338	2764
109	341	2764
110	345	2766
111	348	2764
112	351	2762
113	354	2756
114	357	2750
115	360	2747
116	363	2741
117	366	2739
118	369	2734
119	372	2730
120	375	2726
121	378	2725
122	381	2721
123	384	2719
124	388	2716
125	391	2714
126	394	2710
127	397	2706
128	401	2707
129	404	2705
130	407	2703
131	410	2700
132	414	2698
133	417	2699
134	420	2696
135	423	2692
136	426	2687
137	429	2683
138	432	2679
139	435	2677
140	438	2672
141	441	2668
142	444	2664
143	447	2659
144	450	2656
145	453	2651
146	456	2648
147	460	2648
148	462	2644
149	465	2640
150	468	2635
151	471	2632
152	475	2629
153	477	2625
154	480	2622
155	483	2617
156	486	2613
157	489	2609
158	492	2604
159	495	2602
160	498	2599
161	501	2594
162	504	2591
163	507	2588
164	510	2585
165	514	2584
166	517	2581
167	520	2576
168	523	2572
169	525	2567
170	528	2563
171	531	2558
172	534	2555
173	537	2551
174	540	2548
175	543	2544
176	546	2539
177	549	2536
178	552	2532
179	555	2529
180	558	2525
181	561	2521
182	563	2516
183	566	2513
184	569	2509
185	572	2505
186	575	2501
187	578	2498
188	581	2494
189	584	2491
190	587	2488
191	590	2487
192	594	2484
193	597	2481
194	600	2479
195	603	2476
196	607	2475
197	611	2475
198	614	2472
199	617	2470
